,alti,drct,dwpf,feel,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,lat,lon,metar,mslp,p01i,peak_wind_drct,peak_wind_gust,peak_wind_time,relh,sknt,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,snowdepth,station,tmpf,valid,vsby,wxcodes
0,30.09999743220303,0.0,54.47961739825105,57.7,,,,,33.3899,-84.331,KHMP 270015Z AUTO 00000KT 4SM BR CLR 14/14 A3011 RMK AO2 T01430142,1018.399996434302,,,,,94.33298363742708,0.0,CLR,,,,500.0,,,,,HMP,57.7,27-11-2020 00:15,5.300603432288621,BR
6,30.11599794576242,0.0,53.05966989543361,55.4,,,,,33.3899,-84.331,KHMP 270115Z AUTO 00000KT 3 1/2SM BR CLR 13/13 A3012 RMK AO2 T01300129,1018.899996434302,,,,,96.24331773634431,0.0,CLR,,,,500.0,,,,,HMP,55.4,27-11-2020 01:15,4.550471476055293,BR
12,30.118330500112933,0.0,51.13304050118282,53.2,,,,,33.3899,-84.331,KHMP 270215Z AUTO 00000KT 1/2SM FG VV005 12/12 A3014 RMK AO2 T01180117,1018.899996434302,,,,,97.33457460087256,0.0,VV ,,,,500.0,,,,,HMP,53.2,27-11-2020 02:15,2.958529974679331,FG
19,30.111108909792613,0.0,49.83325223675973,51.1,,,,,33.8756,-84.302,KPDK 270301Z 00000KT 1SM BR CLR 11/10 A3010 RMK AO2 T01060100,1019.0,,,,,97.25530617258514,0.0,CLR,,,,200.0,,,,,PDK,51.1,27-11-2020 03:01,2.416837709114251,BR
29,30.10749802760902,0.0,47.76861736506393,48.9,,,,,33.8756,-84.302,KPDK 270401Z 00000KT 4SM BR CLR 09/09 A3010 RMK AO2 T00940094,1019.0,,,,,97.1753953919598,0.0,CLR,,,,210.00106978568627,,,,,PDK,48.9,27-11-2020 04:01,1.453117269230255,BR
46,30.11249815756942,0.0,46.49155215861544,46.9,,,,,33.8756,-84.302,KPDK 270503Z 00000KT 1 1/4SM BR CLR 08/08 A3010 RMK AO2 T00830078,1019.100003565698,,,,,96.96057156951314,0.0,CLR,,,,524.9710219876241,,,,,PDK,46.9,27-11-2020 05:03,2.083435360403195,BR
59,30.11356929268231,0.0,44.77847533175416,46.9,,,,,33.78,-84.52,KFTY 270604Z 00000KT 3/4SM BR VV002 08/07 A3011 RMK AO2 T00830067,1019.0,,,,,95.00821084536818,0.0,VV ,,,,245.44924078372387,,,,,FTY,46.9,27-11-2020 06:04,1.5893724051858078,BR
74,30.11727067610674,0.0,44.40894797582926,46.0,,,,,33.8756,-84.302,KPDK 270700Z 00000KT 7SM CLR 08/07 A3010 RMK AO2 T00780072 $,1019.2,,,,,96.7678497237999,0.0,CLR,,,,212.50167158484072,,,,,PDK,46.0,27-11-2020 07:00,2.909135999377577,
86,30.11845953819061,0.0,42.88444835777335,44.1,,,,,33.78,-84.52,KFTY 270802Z 00000KT 6SM BR CLR 07/06 A3011 RMK AO2 T00670056,1019.4,,,,,96.66895925566291,0.0,CLR,,,,200.0,,,,,FTY,44.1,27-11-2020 08:02,2.076973716693274,BR
100,30.118997817621636,0.0,41.510858850006336,42.1,,,,,33.78,-84.52,KFTY 270907Z 00000KT 1 1/4SM BR FEW002 06/05 A3011 RMK AO2 VIS 3/4V4 T00560050,1019.2000000000002,,,,,96.25069560669456,0.0,FEW,,,,166.66468567625068,,,,,FTY,42.1,27-11-2020 09:07,2.472040620641562,BR
111,30.122497325440406,0.0,40.485513418784265,41.0,,,,,33.78,-84.52,KFTY 271010Z 00000KT 1/2SM FG VV001 05/04 A3011 RMK AO2 T00500039,1019.5,,,,,95.19930562631183,0.0,VV ,,,,150.0,,,,,FTY,41.0,27-11-2020 10:10,3.071414015853932,FG
120,30.143996918643634,12.503343616812597,39.87482390284787,40.3,,,,,33.3899,-84.331,KHMP 271115Z AUTO 00000KT 1 1/4SM BR VV007 05/05 A3015 RMK AO2 T00460046,1020.0,,,,,98.11949712003138,0.7502006170087558,VV ,,,,700.0,,,,,HMP,40.3,27-11-2020 11:15,5.312917952101575,BR
126,30.157997688982725,117.51181411273784,40.64993312766374,39.9,,,,,33.3899,-84.331,KHMP 271215Z AUTO 00000KT 7SM CLR 04/04 A3016 RMK AO2 T00440044,1020.7000000000002,,,,,98.7622376375341,1.5001337446725038,CLR,,,,,,,,,HMP,39.9,27-11-2020 12:15,4.999910836884998,
132,30.182497993829912,0.0,45.399964334753996,44.2,,,,,33.3899,-84.331,KHMP 271315Z AUTO 00000KT 7SM CLR 07/07 A3019 RMK AO2 T00680068,1021.2000000000002,,,,,97.60959430782675,0.0,CLR,,,,,,,,,HMP,44.2,27-11-2020 13:15,9.250066872336252,
137,30.18199788870027,0.0,49.299884449136215,51.8,,,,,33.3899,-84.331,KHMP 271415Z AUTO 00000KT 10SM CLR 11/10 A3019 RMK AO2 T01100102,1021.4,,,,,85.46548652619867,0.0,CLR,,,,,,,,,HMP,51.8,27-11-2020 14:15,10.0,
143,30.17799640508424,187.99469321958944,47.5597840197435,56.7,,,,,33.3899,-84.331,KHMP 271515Z AUTO 00000KT 10SM CLR 14/10 A3020 RMK AO2 T01370100,1020.899996434302,,,,,64.16723120158633,3.0000142655387383,CLR,,,,,,,,,HMP,56.7,27-11-2020 15:15,10.0,
149,30.153996918643635,180.01726130187308,43.21957374570251,63.1,,,,,33.3899,-84.331,KHMP 271615Z AUTO 00000KT 10SM CLR 17/07 A3018 RMK AO2 T01730071,1019.9999964343019,,,,,44.93506640608283,3.0003281073909758,CLR,,,,,,,,,HMP,63.1,27-11-2020 16:15,10.0,
155,30.123996918643634,256.007788984151,40.91961083610323,66.9,,,,,33.3899,-84.331,KHMP 271715Z AUTO 33004KT 10SM CLR 19/07 A3015 RMK AO2 T01940068,1018.8499982171509,,,,,36.777301673347694,4.600165480249362,CLR,,,,,,,,,HMP,66.9,27-11-2020 17:15,10.0,
161,30.11399691864363,254.00804576384826,38.559664189218104,70.0,,,,,33.3899,-84.331,KHMP 271815Z AUTO 34003KT 10SM CLR 21/05 A3013 RMK AO2 T02110049,1018.5499982171511,,,,,31.831639395711775,3.2001740395726044,CLR,,,,,,,,,HMP,70.0,27-11-2020 18:15,10.0,
167,30.09399691864363,256.00850226108787,38.71984336438466,71.4,,,,,33.3899,-84.331,KHMP 271915Z AUTO 00000KT 10SM CLR 22/04 A3011 RMK AO2 T02190037,1018.1499982171512,,,,,31.27394142569794,3.6001797457880995,CLR,,,,,,,,,HMP,71.4,27-11-2020 19:15,10.0,
173,30.09999800282458,126.0246223198619,43.07947616941753,69.8,,,,,33.3899,-84.331,KHMP 272015Z AUTO 00000KT 10SM SCT070 21/05 A3010 RMK AO2 T02100049,1018.5499946514531,,,,,40.957250602719014,1.4002624859127806,SCT,,,,6874.966563831874,,,,,HMP,69.8,27-11-2020 20:15,10.0,
179,30.091997175423334,59.99229660908144,46.798935790810134,64.4,,,,,33.3899,-84.331,KHMP 272115Z AUTO 30003KT 10SM CLR 18/11 A3011 RMK AO2 T01800112,1018.1,,,,,57.14747000670481,0.5999229660908144,CLR,,,,6500.0,,,,,HMP,64.4,27-11-2020 21:15,10.0,
185,30.085996661863938,0.0,49.379259333228724,59.0,,,,,33.3899,-84.331,KHMP 272215Z AUTO 00000KT 10SM CLR 15/12 A3010 RMK AO2 T01500119,1017.7000000000002,,,,,73.6717600821695,0.0,CLR,,,,3800.0,,,,,HMP,59.0,27-11-2020 22:15,10.0,
191,30.073996918643637,62.00972909741937,49.89953351688327,55.6,,,,,33.3899,-84.331,KHMP 272315Z AUTO 00000KT 5SM BR CLR 13/12 A3009 RMK AO2 T01310116,1017.6,,,,,81.57018402544972,0.6000941525556712,CLR,,,,,,,,,HMP,55.6,27-11-2020 23:15,7.200359491576199,BR
197,30.077998402259666,0.0,49.23947559879599,54.5,,,,,33.3899,-84.331,KHMP 280015Z AUTO 00000KT 10SM CLR 12/11 A3008 RMK AO2 T01250111,1018.2000000000002,,,,,82.26208020085878,0.0,CLR,,,,,,,,,HMP,54.5,28-11-2020 00:15,8.80015406781837,
203,30.085997375140874,69.99101271059502,49.73957117790553,53.2,,,,,33.3899,-84.331,KHMP 280115Z AUTO 35003KT 7SM CLR 12/11 A3009 RMK AO2 T01180111,1018.1,,,,,83.56624759269035,0.5999229660908144,CLR,,,,3425.106542322712,,,,,HMP,53.2,28-11-2020 01:15,9.400077033909186,
209,30.083996918643635,0.0,51.099666186393534,56.3,,,,,33.3899,-84.331,KHMP 280215Z AUTO 00000KT 10SM OVC028 14/11 A3010 RMK AO2 T01350112,1017.8,,,,,84.93535956290388,0.0,OVC,,,,2975.0646432583767,,,,,HMP,56.3,28-11-2020 02:15,10.0,
215,30.083996918643635,0.0,51.399627669438935,56.5,,,,,33.3899,-84.331,KHMP 280315Z AUTO 00000KT 10SM OVC026 14/12 A3010 RMK AO2 T01360120,1017.5499982171511,,,,,84.61083995492089,0.0,OVC,,,,3100.0984322172926,5150.109662809151,6000.0,,,HMP,56.5,28-11-2020 03:15,10.0,
221,30.085997945762422,125.98382287907103,50.979618824804916,55.9,,,,,33.3899,-84.331,KHMP 280415Z AUTO 00000KT 10SM BKN043 OVC060 13/12 A3009 RMK AO2 T01330119,1017.6500017828491,,,,,82.67861381760082,1.3998202542119003,BKN,OVC,,,3339.9492146820926,4699.919753196497,7266.373427803799,,,HMP,55.9,28-11-2020 04:15,10.0,
227,30.08142545647212,84.28085262471471,51.614035498858826,57.9,,,,,33.78,-84.52,KFTY 280501Z 00000KT 10SM -RA BKN025 OVC038 14/09 A3006 RMK AO2 RAB0456 P0000 T01440094,1017.5999964343019,,,,,87.38041602135638,0.9999388653407238,BKN,OVC,,,2271.459284316922,4356.99074828823,8666.765733850069,,,FTY,57.9,28-11-2020 05:01,8.42872717639387,#NAME?
235,30.066664566517275,56.65790943997337,52.783182558457455,54.0,,,,,33.8756,-84.302,KPDK 280610Z 00000KT 6SM -RA BR SCT026 BKN033 OVC060 12/10 A3007 RMK AO2 P0002 T01220100,1016.9500053485469,,,,,95.3730150616374,0.6665636404702749,SCT,BKN,OVC,,6982.875857395894,6400.0,6000.0,,,PDK,54.0,28-11-2020 06:10,6.833513629177019,#NAME?
242,30.061665458090136,116.68251685072693,51.18285208211981,54.7,,,,,33.3899,-84.331,KHMP 280715Z AUTO 00000KT 7SM -RA SCT016 BKN060 OVC110 13/12 A3007 RMK AO2 LTG DSNT S T01260123,1017.200003565698,,,,,89.92873586857029,2.1669975392589245,SCT,BKN,OVC,,1766.724123583885,4199.852593288239,6999.803853972254,,,HMP,54.7,28-11-2020 07:15,7.500029719095113,#NAME?
249,30.056664566517274,118.33466078624838,51.116398996683344,52.0,,,,,33.8756,-84.302,KPDK 280814Z AUTO 00000KT 9SM SCT021 BKN030 OVC070 11/09 A3005 RMK AO2 RAB0757E14 P0000 T01110089,1016.8500017828488,,,,,91.13472973454905,2.499791966334209,SCT,BKN,OVC,,2766.732444930517,3560.0102713344177,6100.017118890696,,,PDK,52.0,28-11-2020 08:14,9.83331153933025,
256,30.059996861581475,66.00864491647528,50.319817686414936,53.4,,,,,33.3899,-84.331,KHMP 280915Z AUTO 02003KT 10SM -DZ BKN034 OVC044 12/11 A3007 RMK AO2 T01190109,1016.800003565698,,,,,90.79933108888858,1.9999714689225239,BKN,OVC,,,3740.01198305254,5200.14264826504,,,,HMP,53.4,28-11-2020 09:15,9.399863050828115,#NAME?
262,30.063996918643635,0.0,50.17983566099373,52.3,,,,,33.3899,-84.331,KHMP 281015Z AUTO 00000KT 10SM -RA OVC038 11/11 A3008 RMK AO2 T01130106,1017.199996434302,,,,,94.39771009572176,0.0,OVC,,,,4200.0,7500.0,11500.0,,,HMP,52.3,28-11-2020 10:15,8.999771751380191,#NAME?
268,30.079998145479966,62.01415141442816,49.75982538980585,51.3,,,,,33.3899,-84.331,KHMP 281115Z AUTO 00000KT 10SM BKN110 11/10 A3008 RMK AO2 T01070103,1017.949998217151,,,,,96.58369563046547,1.000228248619809,BKN,,,,7219.96462146393,11000.0,,,,HMP,51.3,28-11-2020 11:15,8.200231101727557,
274,30.089997432203027,134.0254497211087,48.93980085307922,50.2,,,,,33.3899,-84.331,KHMP 281215Z AUTO 00000KT 1 3/4SM BR BKN001 10/10 A3009 RMK AO2 T01010099,1018.2,,,,,95.62736872137977,1.4002767514515186,BKN,,,,3550.4921540656205,,,,,HMP,50.2,28-11-2020 12:15,7.150365911068631,BR
280,30.107998402259664,192.01586327907674,49.41986904235439,50.2,,,,,33.3899,-84.331,KHMP 281315Z AUTO 00000KT 10SM CLR 10/10 A3011 RMK AO2 T01010098,1018.9999964343019,,,,,92.05896746030614,2.8003537853607043,CLR,,,,,,,,,HMP,50.2,28-11-2020 13:15,10.0,
286,30.12599794576242,327.50017832941006,49.95986390676044,52.5,,,,,33.3899,-84.331,KHMP 281415Z AUTO 31003KT 10SM CLR 11/11 A3013 RMK AO2 T01140106,1019.4,,,,,84.90663418879015,4.000057062154952,CLR,,,,,,,,,HMP,52.5,28-11-2020 14:15,10.0,
292,30.12799768898272,353.99948644060544,49.69978173725731,54.5,,,,,33.3899,-84.331,KHMP 281515Z AUTO 36005KT 10SM CLR 12/10 A3014 RMK AO2 T01250104,1019.2,,,,,74.29231586755876,5.200116977417652,CLR,,,,,,,,,HMP,54.5,28-11-2020 15:15,10.0,
